edge_name,fnode,tnode,length
354333,12601,140773,20.50600333
354334,2478,12557,127.3235403
354335,12559,8238,133.2785319
354336,12314,2522,126.8033596
354337,12180,7952,193.7288118
354338,2526,2527,82.06939463
354339,12046,2527,240.7699454
354340,3125,2857,138.3355509
354341,2529,4084,203.0118258
354342,2328,2329,125.8392196
354343,2330,2331,124.7387815
354344,2334,2335,205.0272622
354345,2378,2337,87.90521251
354346,3306,3305,279.8742756
354347,3314,9434,194.1149603
354348,3368,548545,141.0227671
354349,9533,9378,201.0022349
354350,9049,3307,130.022266
354351,3358,3313,162.0450895
354352,9337,9338,158.0320466
354353,9536,3370,151.8228589
354354,3305,3346,15.87622468
354355,3307,9048,127.4715981
354356,14612,3904,173.613561
354357,3905,14612,120.0950297
354358,13806,4198,151.5200043
354359,3907,3908,110.7718341
354360,3908,14658,110.1216156
354361,14657,8575,109.9715325
354362,3909,14271,108.4783297
354363,14270,3910,111.3550473
354364,14269,3097,110.5980916
354365,9833,3600,113.6969125
354366,3600,9832,112.4840532
354367,9707,2154,159.3494213
354368,2756,2757,133.0087383
354369,10098,2550,129.3074301
354370,10472,10473,148.3780886
354371,3986,10475,147.3763265
354372,10475,2552,130.5686076
354373,2553,10477,130.612014
354374,2558,10476,123.8827815
354375,10476,4756,118.8729346
354376,3821,10514,119.187479
354377,2559,8580,138.649478
354378,12099,2605,135.3312483
354379,13976,1912,370.0574305
354380,1868,13833,124.7270154
354381,13832,1869,288.3429718
354382,13875,1870,135.3024782
354383,13876,1921,142.6501358
354384,13878,1989,137.501359
354385,13741,1990,146.4153597
354386,13782,1991,169.0915137
354387,13685,1992,432.1449481
354388,1930,31012,409.82442
354389,1996,1995,134.64956
354390,2124,9691,126.3078412
354391,11352,2846,129.9634403
354392,12088,2847,132.9899904
354393,2849,2850,152.8266523
354394,12410,2851,122.4635907
354396,3878,13722,142.8865036
354397,2989,13719,142.4436904
354398,14963,30855,31.62129456
354399,515080,8794,178.8014111
354400,13724,13725,105.3605351
354401,14329,13726,210.259014
354402,3879,3031,122.8034127
354403,13720,13718,123.9684934
354404,13682,4033,130.3782412
354405,3034,3035,136.7051292
354406,13721,3037,142.0312378
354407,14604,15548,127.6373721
354408,15548,2547,125.8945757
354409,2536,2702,183.675682
354410,2702,2703,167.3639901
354411,9168,2338,147.1747579
354412,2338,9271,147.3307613
354413,2381,536251,76.63593865
354414,9326,2379,146.2458963
354415,9275,3185,142.3047266
354417,14727,2386,130.185946
354418,14108,14109,136.5063825
354419,3050,31208,33.0532681
354420,12065,3053,158.5296875
354421,3055,12062,137.0694743
354422,4037,15639,105.6200442
354423,15637,15639,143.8026125
354424,2259,2258,85.14536684
354425,2261,15533,149.5794344
354426,2263,15584,183.3980592
354427,548621,15486,87.51928046
354428,3780,9149,27.65641563
354429,9148,3777,181.9885727
354430,3778,9249,165.9872438
354431,11191,10583,124.7623791
354432,3785,3786,143.1479466
354433,10621,4341,131.754443
354434,11232,8530,150.1996402
354435,11192,3784,53.43857658
354436,3830,3239,167.1677933
354437,9832,3640,120.0826859
354438,10451,3406,328.1918174
354439,3644,10448,131.5292807
354440,9782,9780,126.637995
354441,9780,3645,132.1561967
354442,15595,10499,187.5215056
354443,3648,10453,102.9918215
354444,9786,3407,133.2992948
354445,9784,3652,83.99981643
354446,3117,836,223.212191
354447,8361,816,290.1408249
354448,8357,789,162.6528683
354449,771,8368,204.8583174
354450,774,3121,198.7699005
354451,893,3458,167.2757131
354452,3459,903,125.8326794
354453,8864,3461,163.5990226
354454,8861,8862,162.2463077
354455,9050,9049,133.8459382
354456,9054,9052,72.34660297
354457,9434,3709,73.31431386
354458,3313,8429,162.721765
354459,3315,9335,132.4066596
354460,9336,3357,130.1209894
354461,3348,3360,67.87449041
354462,9142,4188,133.1066122
354463,3363,9181,126.5892906
354464,9532,9378,332.9977664
354465,2126,3664,143.6720051
354466,3664,9593,152.2461425
354467,9597,9596,152.2028515
354468,2130,2131,169.4815637
354469,2131,2132,138.5563117
354470,9695,2133,72.85067066
354471,9694,2134,169.8123166
354472,4684,2131,81.6409834
354473,9406,2136,159.1582647
354474,2759,2758,132.8478962
354475,2758,3389,130.2867171
354476,2760,11314,131.0646553
354477,12680,2761,165.1460509
354478,4391,8289,127.3350776
354479,4351,2805,135.2490595
354480,2805,2804,132.3718004
354481,2804,4391,137.8469632
354482,2806,2807,152.8514075
354483,9636,2808,150.6081899
354484,12098,12097,135.293732
354485,2606,12143,162.5478326
354486,12663,2610,132.5851653
354487,2609,12144,163.8788786
354488,2614,12827,115.0207385
354489,2703,9562,146.2432857
354490,9562,4135,152.3037831
354491,2567,13736,173.4923118
354492,13688,13690,117.8955728
354493,3072,2572,133.4813344
354494,12417,3073,120.7229818
354495,12770,140792,45.08978464
354496,11420,12770,266.5097508
354497,11419,11420,186.9668522
354498,2618,2576,117.8285665
354499,2621,11381,213.6164205
354500,11564,2622,135.1263089
354501,2852,12133,200.3388398
354502,3133,2854,222.7012751
354503,9093,3245,128.7945881
354504,7951,12228,137.2293987
354505,3126,2530,166.9305111
354506,15545,12229,36.00952108
354507,14893,14890,279.9328279
354508,2580,13395,122.098916
354509,13394,13482P,125.2890811
